almacen,cantidad,clase,cod_item,departamento,dolares_abono,dolares_cargo,dolares_saldo,empresa,estado_orden,estado_pago,facturas_vinculadas,fecha_transaccion,glosa,id_transaccion,item,linea_negocio,moneda,razon_social,soles_abono,soles_cargo,soles_saldo,unidad_medida,voucher_contable,actividad,macropartida,partida_presupuestaria,proyecto
PA ALMACEN GENERAL,1892.5,OPERACIONES PACKING,315,CO-MANTENIMIENTO PACKING,0,1685.24,1685.24,ALZA PERU PACKING SAC,Totalmente Facturada,Pendiente de Pago,F121-00015455,02/01/2026,DIESEL B5 S-50,48759,DIESEL B5 S-50,FORMATOS VARIOS,Soles,20175642341 - ESTACION DE SERVICIOS SAN JOSE S.A.C.,0,5758.48,5758.48,GALON,OC- 4400001297,,,,
PA ALMACEN GENERAL,2838.75,OPERACIONES PACKING,315,CO-MANTENIMIENTO PACKING,0,2527.86,2527.86,ALZA PERU PACKING SAC,Totalmente Facturada,Pago Parcial / Mixto,"F121-00015504, F121-00015505",03/01/2026,DIESEL B5 S-50,48761,DIESEL B5 S-50,,Soles,20175642341 - ESTACION DE SERVICIOS SAN JOSE S.A.C.,0,8637.71,8637.71,GALON,OC- 4400001299,,,,
PA ALMACEN GENERAL,3785,OPERACIONES PACKING,315,CO-MANTENIMIENTO PACKING,0,3424.61,3424.61,ALZA PERU PACKING SAC,Totalmente Facturada,Pago Parcial / Mixto,"F121-00015510, F121-00015511",05/01/2026,DIESEL B5 S-50,48766,DIESEL B5 S-50,FORMATOS VARIOS,Soles,20175642341 - ESTACION DE SERVICIOS SAN JOSE S.A.C.,0,11516.95,11516.95,GALON,OC- 4400001302,O0100-30001-30001-GLP / GASOLINA,O0100-ENERGÍA,O0100-30001-GLP / GASOLINA,
PA ALMACEN GENERAL,1892.5,OPERACIONES PACKING,315,CO-MANTENIMIENTO PACKING,0,1712.3,1712.3,ALZA PERU PACKING SAC,Totalmente Facturada,Pendiente de Pago,F121-00015533,06/01/2026,DIESEL B5 S-50,48770,DIESEL B5 S-50,FORMATOS VARIOS,Soles,20175642341 - ESTACION DE SERVICIOS SAN JOSE S.A.C.,0,5758.48,5758.48,GALON,OC- 4400001306,O0100-30001-30001-GLP / GASOLINA,O0100-ENERGÍA,O0100-30001-GLP / GASOLINA,
PA ALMACEN GENERAL,1892.5,OPERACIONES PACKING,315,CO-MANTENIMIENTO PACKING,0,1648.04,1648.04,ALZA PERU PACKING SAC,Totalmente Facturada,Pagada Totalmente,F121-00015548,07/01/2026,DIESEL B5 S-50,48774,DIESEL B5 S-50,FORMATOS VARIOS,Soles,20175642341 - ESTACION DE SERVICIOS SAN JOSE S.A.C.,0,5631.36,5631.36,GALON,OC- 4400001309,O0110-30050-30052-PLAN MOTIVACIONAL,O0110-GESTION HUMANA,O0110-30050-BIENESTAR SOCIAL,
PA ALMACEN GENERAL,2838.75,OPERACIONES PACKING,315,CO-MANTENIMIENTO PACKING,0,2511.75,2511.75,ALZA PERU PACKING SAC,Totalmente Facturada,Pagada Totalmente,F121-00015553,08/01/2026,DIESEL B5 S-50,48779,DIESEL B5 S-50,FORMATOS VARIOS,Soles,20175642341 - ESTACION DE SERVICIOS SAN JOSE S.A.C.,0,8447.03,8447.03,GALON,OC- 4400001312,O0100-30001-30001-GLP / GASOLINA,O0100-ENERGÍA,O0100-30001-GLP / GASOLINA,
PA ALMACEN GENERAL,4731.25,OPERACIONES PACKING,315,CO-MANTENIMIENTO PACKING,0,4186.26,4186.26,ALZA PERU PACKING SAC,Totalmente Facturada,Pagada Totalmente,"F121-00015578, F121-00015579",09/01/2026,DIESEL B5 S-50,48781,DIESEL B5 S-50,,Soles,20175642341 - ESTACION DE SERVICIOS SAN JOSE S.A.C.,0,14078.39,14078.39,GALON,OC- 4400001314,,,,
PA ALMACEN GENERAL,1892.5,OPERACIONES PACKING,315,CO-MANTENIMIENTO PACKING,0,18949.53,18949.53,ALZA PERU PACKING SAC,Totalmente Facturada,Pagada Totalmente,F121-00015591,12/01/2026,DIESEL B5 S-50,48785,DIESEL B5 S-50,,Soles,20175642341 - ESTACION DE SERVICIOS SAN JOSE S.A.C.,0,5631.36,5631.36,GALON,OC- 4400001316,,,,
PA ALMACEN GENERAL,2838.75,OPERACIONES PACKING,315,CO-MANTENIMIENTO PACKING,0,2472.06,2472.06,ALZA PERU PACKING SAC,Totalmente Facturada,Pagada Totalmente,F121-00015607,13/01/2026,DIESEL B5 S-50,48787,DIESEL B5 S-50,,Soles,20175642341 - ESTACION DE SERVICIOS SAN JOSE S.A.C.,0,8447.03,8447.03,GALON,OC- 4400001318,,,,
PA ALMACEN GENERAL,1892.5,OPERACIONES PACKING,315,CO-MANTENIMIENTO PACKING,0,18949.53,18949.53,ALZA PERU PACKING SAC,Totalmente Facturada,Pagada Totalmente,F121-00015609,14/01/2026,DIESEL B5 S-50,48792,DIESEL B5 S-50,FORMATOS VARIOS,Soles,20175642341 - ESTACION DE SERVICIOS SAN JOSE S.A.C.,0,5631.36,5631.36,GALON,OC- 4400001322,O0100-30001-30001-GLP / GASOLINA,O0100-ENERGÍA,O0100-30001-GLP / GASOLINA,CAPEX000011:AMPLIACIÓN PACKING
